fir_id,victim_id,impact
FIR-2025-00174,VIC-00292,Emotional distress
FIR-2025-00175,VIC-00004,Emotional distress
FIR-2025-00176,VIC-00083,Emotional distress
FIR-2025-00176,VIC-00086,Emotional distress
FIR-2025-00177,VIC-00098,Property damage
FIR-2025-00178,VIC-00034,Property damage
FIR-2025-00181,VIC-00070,Financial loss
FIR-2025-00182,VIC-00002,Emotional distress
FIR-2025-00183,VIC-00001,Financial loss
FIR-2025-00184,VIC-00208,Emotional distress
FIR-2025-00185,VIC-00279,Financial loss
FIR-2025-00186,VIC-00170,Property damage
FIR-2025-00186,VIC-00132,Financial loss
FIR-2025-00187,VIC-00055,Emotional distress
FIR-2025-00188,VIC-00272,Property damage
FIR-2025-00189,VIC-00233,Property damage
FIR-2025-00190,VIC-00065,Financial loss
FIR-2025-00191,VIC-00196,Financial loss
FIR-2025-00191,VIC-00257,Emotional distress
FIR-2025-00192,VIC-00102,Financial loss
FIR-2025-00193,VIC-00253,Financial loss
FIR-2025-00194,VIC-00059,Property damage
FIR-2025-00195,VIC-00282,Financial loss
FIR-2025-00196,VIC-00267,Financial loss
FIR-2025-00198,VIC-00205,Property damage
FIR-2025-00199,VIC-00265,Emotional distress
FIR-2025-00200,VIC-00255,Emotional distress
FIR-2025-00202,VIC-00259,Financial loss
FIR-2025-00203,VIC-00200,Property damage
FIR-2025-00204,VIC-00137,Property damage
FIR-2025-00205,VIC-00290,Property damage
FIR-2025-00207,VIC-00037,Emotional distress
FIR-2025-00208,VIC-00166,Physical injury
FIR-2025-00209,VIC-00025,Financial loss
FIR-2025-00210,VIC-00222,Financial loss
FIR-2025-00211,VIC-00033,Emotional distress
FIR-2025-00212,VIC-00236,Physical injury
FIR-2025-00213,VIC-00051,Financial loss
FIR-2025-00213,VIC-00240,Financial loss
FIR-2025-00214,VIC-00201,Physical injury
FIR-2025-00216,VIC-00226,Financial loss
FIR-2025-00216,VIC-00122,Physical injury
FIR-2025-00217,VIC-00009,Physical injury
FIR-2025-00218,VIC-00085,Property damage
FIR-2025-00220,VIC-00058,Financial loss
FIR-2025-00221,VIC-00044,Emotional distress
FIR-2025-00223,VIC-00165,Property damage
FIR-2025-00224,VIC-00138,Emotional distress
FIR-2025-00224,VIC-00192,Financial loss
FIR-2025-00225,VIC-00215,Financial loss
FIR-2025-00226,VIC-00270,Emotional distress
FIR-2025-00227,VIC-00244,Financial loss
FIR-2025-00227,VIC-00181,Financial loss
FIR-2025-00228,VIC-00091,Financial loss
FIR-2025-00229,VIC-00273,Property damage
FIR-2025-00230,VIC-00308,Property damage
FIR-2025-00231,VIC-00143,Financial loss
FIR-2025-00232,VIC-00246,Property damage
FIR-2025-00233,VIC-00128,Emotional distress
FIR-2025-00234,VIC-00054,Physical injury
FIR-2025-00235,VIC-00189,Financial loss
FIR-2025-00237,VIC-00247,Property damage
FIR-2025-00239,VIC-00284,Physical injury
FIR-2025-00241,VIC-00069,Emotional distress
FIR-2025-00241,VIC-00211,Emotional distress
FIR-2025-00243,VIC-00229,Financial loss
FIR-2025-00244,VIC-00238,Property damage
FIR-2025-00245,VIC-00095,Financial loss
FIR-2025-00246,VIC-00269,Emotional distress
FIR-2025-00247,VIC-00072,Emotional distress
FIR-2025-00248,VIC-00317,Emotional distress
FIR-2025-00249,VIC-00024,Property damage
FIR-2025-00249,VIC-00185,Property damage
FIR-2025-00250,VIC-00107,Property damage
FIR-2025-00252,VIC-00293,Emotional distress
FIR-2025-00253,VIC-00204,Property damage
FIR-2025-00255,VIC-00103,Financial loss
FIR-2025-00255,VIC-00060,Financial loss
FIR-2025-00256,VIC-00248,Physical injury
FIR-2025-00257,VIC-00147,Physical injury
FIR-2025-00258,VIC-00111,Financial loss
FIR-2025-00258,VIC-00223,Property damage
FIR-2025-00260,VIC-00016,Financial loss
FIR-2025-00261,VIC-00212,Financial loss
FIR-2025-00262,VIC-00184,Financial loss
FIR-2025-00262,VIC-00258,Property damage
FIR-2025-00264,VIC-00135,Physical injury
FIR-2025-00265,VIC-00274,Financial loss
FIR-2025-00266,VIC-00108,Physical injury
FIR-2025-00267,VIC-00145,Physical injury
FIR-2025-00268,VIC-00064,Financial loss
FIR-2025-00272,VIC-00035,Property damage
FIR-2025-00273,VIC-00318,Financial loss
FIR-2025-00274,VIC-00188,Emotional distress
FIR-2025-00275,VIC-00146,Financial loss
FIR-2025-00276,VIC-00164,Physical injury
FIR-2025-00277,VIC-00306,Property damage
FIR-2025-00278,VIC-00031,Emotional distress
FIR-2025-00280,VIC-00015,Property damage
FIR-2025-00282,VIC-00123,Emotional distress
FIR-2025-00283,VIC-00157,Financial loss
FIR-2025-00284,VIC-00073,Physical injury
FIR-2025-00284,VIC-00022,Financial loss
FIR-2025-00285,VIC-00239,Financial loss
FIR-2025-00285,VIC-00172,Property damage
FIR-2025-00286,VIC-00061,Financial loss
FIR-2025-00287,VIC-00150,Physical injury
FIR-2025-00287,VIC-00013,Emotional distress
FIR-2025-00288,VIC-00115,Physical injury
FIR-2025-00289,VIC-00023,Physical injury
FIR-2025-00289,VIC-00151,Emotional distress
FIR-2025-00290,VIC-00313,Financial loss
FIR-2025-00290,VIC-00162,Emotional distress
FIR-2025-00292,VIC-00301,Financial loss
FIR-2025-00292,VIC-00195,Financial loss
FIR-2025-00293,VIC-00311,Physical injury
FIR-2025-00293,VIC-00283,Emotional distress
FIR-2025-00294,VIC-00171,Financial loss
FIR-2025-00294,VIC-00077,Financial loss
FIR-2025-00295,VIC-00167,Property damage
FIR-2025-00296,VIC-00207,Financial loss
FIR-2025-00299,VIC-00153,Emotional distress
FIR-2025-00300,VIC-00011,Emotional distress
FIR-2026-00302,VIC-00106,Financial loss
FIR-2026-00303,VIC-00121,Financial loss
FIR-2026-00304,VIC-00289,Emotional distress
FIR-2026-00305,VIC-00168,Property damage
FIR-2026-00306,VIC-00105,Financial loss
FIR-2026-00306,VIC-00026,Financial loss
FIR-2026-00307,VIC-00280,Financial loss
FIR-2026-00308,VIC-00010,Financial loss
FIR-2026-00308,VIC-00036,Financial loss
FIR-2026-00310,VIC-00194,Financial loss
FIR-2026-00311,VIC-00275,Physical injury
FIR-2026-00312,VIC-00125,Emotional distress
FIR-2026-00312,VIC-00251,Financial loss
FIR-2026-00313,VIC-00079,Emotional distress
FIR-2026-00314,VIC-00190,Property damage
FIR-2026-00314,VIC-00234,Financial loss
FIR-2026-00315,VIC-00218,Financial loss
FIR-2026-00316,VIC-00231,Financial loss
FIR-2026-00317,VIC-00174,Property damage
FIR-2026-00318,VIC-00235,Physical injury
FIR-2026-00320,VIC-00314,Physical injury
FIR-2026-00320,VIC-00179,Financial loss
FIR-2026-00321,VIC-00094,Financial loss
FIR-2026-00322,VIC-00285,Financial loss
FIR-2026-00324,VIC-00158,Financial loss
FIR-2026-00325,VIC-00316,Emotional distress
FIR-2026-00325,VIC-00020,Physical injury
FIR-2026-00326,VIC-00068,Emotional distress
FIR-2026-00327,VIC-00254,Physical injury
FIR-2026-00328,VIC-00213,Financial loss
FIR-2026-00329,VIC-00256,Emotional distress
FIR-2026-00330,VIC-00217,Emotional distress
FIR-2026-00331,VIC-00214,Financial loss
FIR-2026-00332,VIC-00221,Financial loss
FIR-2026-00333,VIC-00017,Financial loss
FIR-2026-00334,VIC-00314,Emotional distress
FIR-2026-00334,VIC-00136,Financial loss
FIR-2026-00335,VIC-00177,Property damage
FIR-2026-00336,VIC-00031,Physical injury
FIR-2026-00336,VIC-00289,Emotional distress
FIR-2026-00337,VIC-00151,Emotional distress
FIR-2026-00337,VIC-00224,Emotional distress
FIR-2026-00338,VIC-00201,Financial loss
FIR-2026-00339,VIC-00124,Property damage
FIR-2026-00340,VIC-00148,Property damage
FIR-2026-00340,VIC-00046,Financial loss
FIR-2026-00341,VIC-00159,Financial loss
FIR-2026-00342,VIC-00021,Physical injury
FIR-2026-00343,VIC-00134,Financial loss
FIR-2026-00345,VIC-00175,Property damage
FIR-2026-00346,VIC-00243,Physical injury
FIR-2026-00350,VIC-00302,Financial loss
FIR-2026-00351,VIC-00316,Financial loss
FIR-2026-00352,VIC-00300,Physical injury
FIR-2026-00353,VIC-00241,Property damage
FIR-2026-00353,VIC-00140,Financial loss
FIR-2026-00354,VIC-00272,Financial loss
FIR-2026-00355,VIC-00094,Property damage
FIR-2026-00356,VIC-00028,Financial loss
FIR-2026-00356,VIC-00064,Financial loss
FIR-2026-00357,VIC-00282,Emotional distress
FIR-2026-00358,VIC-00024,Financial loss
FIR-2026-00360,VIC-00145,Emotional distress
FIR-2026-00362,VIC-00199,Financial loss
FIR-2026-00363,VIC-00198,Financial loss
FIR-2026-00365,VIC-00290,Property damage
FIR-2026-00366,VIC-00185,Emotional distress
FIR-2026-00367,VIC-00237,Financial loss
FIR-2026-00368,VIC-00161,Financial loss
FIR-2026-00370,VIC-00208,Physical injury
FIR-2026-00371,VIC-00216,Property damage
FIR-2026-00371,VIC-00168,Financial loss
FIR-2026-00372,VIC-00026,Emotional distress
FIR-2026-00373,VIC-00014,Physical injury
FIR-2026-00373,VIC-00119,Emotional distress
FIR-2026-00374,VIC-00299,Physical injury
FIR-2026-00375,VIC-00225,Physical injury
FIR-2026-00375,VIC-00086,Emotional distress
FIR-2026-00376,VIC-00049,Financial loss
FIR-2026-00377,VIC-00129,Emotional distress
FIR-2026-00377,VIC-00073,Physical injury
FIR-2026-00378,VIC-00317,Emotional distress
FIR-2026-00379,VIC-00113,Emotional distress
FIR-2026-00380,VIC-00200,Physical injury
FIR-2026-00380,VIC-00222,Physical injury
FIR-2026-00381,VIC-00070,Physical injury
FIR-2026-00382,VIC-00253,Property damage
FIR-2026-00384,VIC-00048,Emotional distress
FIR-2026-00385,VIC-00139,Physical injury
FIR-2026-00386,VIC-00141,Financial loss
FIR-2026-00387,VIC-00153,Property damage
FIR-2026-00387,VIC-00084,Property damage
FIR-2026-00388,VIC-00215,Emotional distress
FIR-2026-00390,VIC-00319,Financial loss
FIR-2026-00391,VIC-00120,Financial loss
FIR-2026-00392,VIC-00008,Financial loss
FIR-2026-00392,VIC-00076,Emotional distress
FIR-2026-00393,VIC-00298,Financial loss
FIR-2026-00396,VIC-00226,Financial loss
FIR-2026-00397,VIC-00042,Emotional distress
FIR-2026-00397,VIC-00291,Emotional distress
FIR-2026-00398,VIC-00126,Financial loss
FIR-2026-00399,VIC-00039,Emotional distress
FIR-2026-00400,VIC-00292,Property damage
FIR-2026-00400,VIC-00193,Financial loss
