fir_id,suspect_id,role
FIR-2025-00049,SUS-00057,Witness
FIR-2025-00050,SUS-00098,Accused
FIR-2025-00050,SUS-00044,Accused
FIR-2025-00050,SUS-00039,Witness
FIR-2025-00051,SUS-00110,Witness
FIR-2025-00052,SUS-00040,Accused
FIR-2025-00052,SUS-00017,Witness
FIR-2025-00053,SUS-00098,Accused
FIR-2025-00053,SUS-00101,Accused
FIR-2025-00053,SUS-00015,Accused
FIR-2025-00053,SUS-00100,Witness
FIR-2025-00054,SUS-00026,Accused
FIR-2025-00054,SUS-00102,Witness
FIR-2025-00055,SUS-00061,Accused
FIR-2025-00055,SUS-00033,Witness
FIR-2025-00056,SUS-00013,Witness
FIR-2025-00057,SUS-00027,Accused
FIR-2025-00057,SUS-00076,Accused
FIR-2025-00058,SUS-00109,Witness
FIR-2025-00059,SUS-00041,Accused
FIR-2025-00059,SUS-00021,Accused
FIR-2025-00060,SUS-00079,Accused
FIR-2025-00060,SUS-00031,Accused
FIR-2025-00062,SUS-00037,Accused
FIR-2025-00062,SUS-00097,Witness
FIR-2025-00063,SUS-00013,Accused
FIR-2025-00064,SUS-00061,Accused
FIR-2025-00064,SUS-00047,Accused
FIR-2025-00064,SUS-00090,Accused
FIR-2025-00065,SUS-00024,Accused
FIR-2025-00066,SUS-00066,Accused
FIR-2025-00066,SUS-00030,Accused
FIR-2025-00066,SUS-00053,Accused
FIR-2025-00066,SUS-00041,Witness
FIR-2025-00067,SUS-00098,Witness
FIR-2025-00068,SUS-00017,Accused
FIR-2025-00068,SUS-00042,Witness
FIR-2025-00069,SUS-00015,Accused
FIR-2025-00070,SUS-00057,Accused
FIR-2025-00070,SUS-00053,Witness
FIR-2025-00071,SUS-00025,Accused
FIR-2025-00072,SUS-00087,Accused
FIR-2025-00072,SUS-00048,Accused
FIR-2025-00072,SUS-00087,Witness
FIR-2025-00073,SUS-00015,Accused
FIR-2025-00074,SUS-00031,Accused
FIR-2025-00075,SUS-00048,Accused
FIR-2025-00076,SUS-00026,Witness
FIR-2025-00077,SUS-00016,Accused
FIR-2025-00077,SUS-00055,Witness
FIR-2025-00078,SUS-00017,Accused
FIR-2025-00078,SUS-00057,Accused
FIR-2025-00079,SUS-00083,Accused
FIR-2025-00080,SUS-00052,Accused
FIR-2025-00081,SUS-00015,Accused
FIR-2025-00081,SUS-00033,Witness
FIR-2025-00082,SUS-00086,Accused
FIR-2025-00082,SUS-00095,Witness
FIR-2025-00084,SUS-00074,Accused
FIR-2025-00084,SUS-00021,Accused
FIR-2025-00084,SUS-00086,Accused
FIR-2025-00085,SUS-00085,Accused
FIR-2025-00086,SUS-00026,Accused
FIR-2025-00086,SUS-00038,Accused
FIR-2025-00087,SUS-00021,Accused
FIR-2025-00088,SUS-00057,Accused
FIR-2025-00088,SUS-00056,Witness
FIR-2025-00089,SUS-00015,Accused
FIR-2025-00089,SUS-00021,Accused
FIR-2025-00090,SUS-00086,Accused
FIR-2025-00091,SUS-00017,Accused
FIR-2025-00091,SUS-00086,Accused
FIR-2025-00094,SUS-00061,Accused
FIR-2025-00095,SUS-00076,Witness
FIR-2025-00096,SUS-00046,Accused
FIR-2025-00096,SUS-00099,Accused
FIR-2025-00096,SUS-00037,Accused
FIR-2025-00098,SUS-00004,Accused
FIR-2025-00099,SUS-00031,Accused
FIR-2025-00100,SUS-00074,Accused
FIR-2025-00100,SUS-00031,Witness
FIR-2025-00101,SUS-00117,Accused
FIR-2025-00102,SUS-00086,Accused
FIR-2025-00102,SUS-00089,Accused
FIR-2025-00104,SUS-00003,Accused
FIR-2025-00105,SUS-00049,Accused
FIR-2025-00106,SUS-00015,Accused
FIR-2025-00106,SUS-00087,Witness
FIR-2025-00108,SUS-00020,Accused
FIR-2025-00109,SUS-00109,Accused
FIR-2025-00110,SUS-00034,Witness
FIR-2025-00112,SUS-00109,Witness
FIR-2025-00113,SUS-00035,Accused
FIR-2025-00113,SUS-00103,Witness
FIR-2025-00114,SUS-00045,Accused
FIR-2025-00115,SUS-00057,Accused
FIR-2025-00115,SUS-00085,Witness
FIR-2025-00116,SUS-00031,Accused
FIR-2025-00116,SUS-00066,Witness
FIR-2025-00117,SUS-00024,Accused
FIR-2025-00118,SUS-00024,Accused
FIR-2025-00120,SUS-00069,Accused
FIR-2025-00121,SUS-00120,Accused
FIR-2025-00121,SUS-00073,Accused
FIR-2025-00124,SUS-00111,Accused
FIR-2025-00124,SUS-00107,Accused
FIR-2025-00125,SUS-00035,Accused
FIR-2025-00126,SUS-00041,Accused
FIR-2025-00126,SUS-00031,Witness
FIR-2025-00127,SUS-00106,Witness
FIR-2025-00128,SUS-00056,Accused
FIR-2025-00129,SUS-00020,Accused
FIR-2025-00129,SUS-00086,Accused
FIR-2025-00129,SUS-00089,Accused
FIR-2025-00129,SUS-00103,Witness
FIR-2025-00130,SUS-00083,Accused
FIR-2025-00131,SUS-00003,Accused
FIR-2025-00131,SUS-00008,Accused
FIR-2025-00131,SUS-00111,Accused
FIR-2025-00132,SUS-00116,Accused
FIR-2025-00133,SUS-00074,Accused
FIR-2025-00134,SUS-00108,Accused
FIR-2025-00134,SUS-00015,Witness
FIR-2025-00135,SUS-00016,Accused
FIR-2025-00136,SUS-00120,Accused
FIR-2025-00136,SUS-00068,Accused
FIR-2025-00136,SUS-00114,Witness
FIR-2025-00138,SUS-00095,Accused
FIR-2025-00139,SUS-00031,Accused
FIR-2025-00139,SUS-00102,Accused
FIR-2025-00139,SUS-00023,Witness
FIR-2025-00141,SUS-00006,Accused
FIR-2025-00141,SUS-00021,Accused
FIR-2025-00145,SUS-00116,Accused
FIR-2025-00146,SUS-00007,Accused
FIR-2025-00146,SUS-00089,Accused
FIR-2025-00147,SUS-00031,Accused
FIR-2025-00148,SUS-00057,Accused
FIR-2025-00148,SUS-00074,Accused
FIR-2025-00148,SUS-00116,Accused
FIR-2025-00149,SUS-00051,Witness
FIR-2025-00150,SUS-00039,Accused
FIR-2025-00150,SUS-00012,Accused
FIR-2025-00150,SUS-00120,Accused
FIR-2025-00152,SUS-00113,Accused
FIR-2025-00152,SUS-00104,Accused
FIR-2025-00152,SUS-00099,Accused
FIR-2025-00153,SUS-00116,Accused
FIR-2025-00153,SUS-00034,Accused
FIR-2025-00154,SUS-00119,Accused
FIR-2025-00155,SUS-00105,Accused
FIR-2025-00155,SUS-00013,Accused
FIR-2025-00156,SUS-00046,Accused
FIR-2025-00157,SUS-00042,Accused
FIR-2025-00157,SUS-00059,Accused
FIR-2025-00158,SUS-00024,Accused
FIR-2025-00158,SUS-00081,Accused
FIR-2025-00159,SUS-00102,Accused
FIR-2025-00160,SUS-00086,Accused
FIR-2025-00160,SUS-00092,Witness
FIR-2025-00161,SUS-00098,Accused
FIR-2025-00161,SUS-00017,Accused
FIR-2025-00161,SUS-00109,Accused
FIR-2025-00162,SUS-00058,Accused
FIR-2025-00163,SUS-00074,Accused
FIR-2025-00163,SUS-00041,Accused
FIR-2025-00164,SUS-00031,Accused
FIR-2025-00164,SUS-00021,Accused
FIR-2025-00164,SUS-00113,Witness
FIR-2025-00165,SUS-00074,Accused
FIR-2025-00165,SUS-00003,Witness
FIR-2025-00166,SUS-00081,Accused
FIR-2025-00166,SUS-00030,Accused
FIR-2025-00166,SUS-00117,Accused
FIR-2025-00166,SUS-00060,Witness
FIR-2025-00167,SUS-00052,Witness
FIR-2025-00168,SUS-00020,Accused
FIR-2025-00168,SUS-00048,Witness
FIR-2025-00169,SUS-00068,Witness
FIR-2025-00170,SUS-00059,Accused
FIR-2025-00171,SUS-00102,Accused
FIR-2025-00171,SUS-00111,Witness
FIR-2025-00172,SUS-00017,Accused
FIR-2025-00172,SUS-00015,Accused
FIR-2025-00173,SUS-00102,Accused
FIR-2025-00174,SUS-00054,Accused
FIR-2025-00174,SUS-00102,Witness
FIR-2025-00175,SUS-00080,Witness
FIR-2025-00176,SUS-00041,Accused
FIR-2025-00177,SUS-00086,Accused
FIR-2025-00178,SUS-00102,Accused
FIR-2025-00178,SUS-00017,Accused
FIR-2025-00178,SUS-00031,Accused
FIR-2025-00179,SUS-00116,Accused
FIR-2025-00179,SUS-00006,Accused
FIR-2025-00179,SUS-00043,Witness
FIR-2025-00180,SUS-00046,Accused
FIR-2025-00180,SUS-00078,Accused
FIR-2025-00180,SUS-00086,Accused
FIR-2025-00181,SUS-00006,Accused
FIR-2025-00181,SUS-00065,Witness
FIR-2025-00182,SUS-00031,Accused
FIR-2025-00183,SUS-00023,Witness
FIR-2025-00184,SUS-00120,Accused
FIR-2025-00185,SUS-00017,Accused
FIR-2025-00186,SUS-00017,Witness
FIR-2025-00187,SUS-00036,Accused
FIR-2025-00188,SUS-00048,Accused
FIR-2025-00188,SUS-00020,Accused
FIR-2025-00188,SUS-00041,Accused
FIR-2025-00189,SUS-00056,Accused
FIR-2025-00189,SUS-00115,Accused
FIR-2025-00189,SUS-00022,Accused
FIR-2025-00190,SUS-00020,Accused
FIR-2025-00190,SUS-00072,Accused
FIR-2025-00190,SUS-00110,Accused
FIR-2025-00191,SUS-00025,Accused
FIR-2025-00191,SUS-00030,Witness
FIR-2025-00192,SUS-00060,Witness
FIR-2025-00193,SUS-00119,Accused
FIR-2025-00194,SUS-00072,Accused
FIR-2025-00195,SUS-00111,Accused
FIR-2025-00195,SUS-00045,Witness
FIR-2025-00196,SUS-00022,Witness
FIR-2025-00197,SUS-00073,Accused
FIR-2025-00197,SUS-00115,Accused
FIR-2025-00198,SUS-00099,Witness
FIR-2025-00199,SUS-00010,Accused
FIR-2025-00199,SUS-00064,Witness
FIR-2025-00200,SUS-00004,Accused
FIR-2025-00200,SUS-00088,Witness
FIR-2025-00202,SUS-00059,Witness
FIR-2025-00203,SUS-00059,Accused
FIR-2025-00203,SUS-00081,Accused
FIR-2025-00204,SUS-00089,Accused
FIR-2025-00205,SUS-00017,Accused
FIR-2025-00205,SUS-00048,Accused
FIR-2025-00205,SUS-00057,Accused
FIR-2025-00207,SUS-00116,Accused
FIR-2025-00208,SUS-00020,Accused
FIR-2025-00208,SUS-00099,Witness
FIR-2025-00209,SUS-00034,Accused
FIR-2025-00209,SUS-00102,Accused
FIR-2025-00209,SUS-00100,Witness
FIR-2025-00210,SUS-00084,Accused
FIR-2025-00210,SUS-00039,Witness
FIR-2025-00211,SUS-00104,Accused
FIR-2025-00212,SUS-00046,Accused
FIR-2025-00212,SUS-00086,Accused
FIR-2025-00212,SUS-00013,Accused
FIR-2025-00213,SUS-00114,Accused
FIR-2025-00214,SUS-00012,Accused
FIR-2025-00215,SUS-00056,Accused
FIR-2025-00215,SUS-00081,Accused
FIR-2025-00217,SUS-00064,Witness
FIR-2025-00218,SUS-00011,Accused
FIR-2025-00218,SUS-00056,Witness
FIR-2025-00220,SUS-00039,Accused
FIR-2025-00220,SUS-00108,Accused
FIR-2025-00220,SUS-00032,Accused
FIR-2025-00221,SUS-00116,Accused
FIR-2025-00222,SUS-00053,Accused
FIR-2025-00222,SUS-00085,Witness
FIR-2025-00223,SUS-00046,Accused
FIR-2025-00223,SUS-00033,Accused
FIR-2025-00224,SUS-00017,Accused
FIR-2025-00224,SUS-00074,Accused
FIR-2025-00225,SUS-00006,Accused
FIR-2025-00225,SUS-00011,Accused
FIR-2025-00226,SUS-00017,Accused
FIR-2025-00226,SUS-00015,Accused
FIR-2025-00227,SUS-00044,Accused
FIR-2025-00228,SUS-00086,Accused
FIR-2025-00228,SUS-00116,Accused
FIR-2025-00229,SUS-00014,Accused
FIR-2025-00230,SUS-00084,Witness
FIR-2025-00231,SUS-00112,Accused
FIR-2025-00232,SUS-00039,Accused
FIR-2025-00232,SUS-00080,Accused
FIR-2025-00233,SUS-00089,Accused
FIR-2025-00234,SUS-00086,Accused
FIR-2025-00234,SUS-00089,Accused
FIR-2025-00234,SUS-00105,Witness
FIR-2025-00237,SUS-00102,Accused
FIR-2025-00238,SUS-00055,Witness
FIR-2025-00239,SUS-00090,Witness
FIR-2025-00240,SUS-00003,Accused
FIR-2025-00241,SUS-00041,Accused
FIR-2025-00242,SUS-00116,Accused
FIR-2025-00243,SUS-00109,Accused
FIR-2025-00243,SUS-00064,Accused
FIR-2025-00244,SUS-00038,Accused
FIR-2025-00244,SUS-00052,Witness
FIR-2025-00245,SUS-00079,Accused
FIR-2025-00246,SUS-00030,Accused
FIR-2025-00246,SUS-00092,Accused
FIR-2025-00246,SUS-00008,Accused
FIR-2025-00247,SUS-00116,Accused
FIR-2025-00247,SUS-00083,Witness
FIR-2025-00248,SUS-00064,Accused
FIR-2025-00249,SUS-00056,Accused
FIR-2025-00249,SUS-00037,Witness
FIR-2025-00250,SUS-00057,Accused
FIR-2025-00250,SUS-00030,Accused
FIR-2025-00251,SUS-00118,Accused
FIR-2025-00252,SUS-00017,Accused
FIR-2025-00252,SUS-00114,Accused
FIR-2025-00252,SUS-00092,Witness
FIR-2025-00253,SUS-00087,Accused
FIR-2025-00254,SUS-00109,Accused
FIR-2025-00254,SUS-00027,Witness
FIR-2025-00255,SUS-00086,Accused
FIR-2025-00257,SUS-00064,Accused
FIR-2025-00257,SUS-00039,Accused
FIR-2025-00257,SUS-00072,Witness
FIR-2025-00259,SUS-00034,Accused
FIR-2025-00260,SUS-00044,Accused
FIR-2025-00261,SUS-00102,Accused
FIR-2025-00262,SUS-00099,Accused
FIR-2025-00262,SUS-00006,Accused
FIR-2025-00262,SUS-00113,Accused
FIR-2025-00263,SUS-00112,Accused
FIR-2025-00263,SUS-00066,Accused
FIR-2025-00265,SUS-00097,Accused
FIR-2025-00265,SUS-00015,Accused
FIR-2025-00266,SUS-00110,Accused
FIR-2025-00266,SUS-00014,Accused
FIR-2025-00268,SUS-00021,Accused
FIR-2025-00268,SUS-00094,Accused
FIR-2025-00268,SUS-00057,Witness
FIR-2025-00269,SUS-00112,Accused
FIR-2025-00269,SUS-00013,Accused
FIR-2025-00269,SUS-00047,Witness
FIR-2025-00270,SUS-00034,Accused
FIR-2025-00270,SUS-00054,Witness
FIR-2025-00271,SUS-00034,Accused
FIR-2025-00271,SUS-00057,Accused
FIR-2025-00272,SUS-00020,Accused
FIR-2025-00273,SUS-00074,Accused
FIR-2025-00273,SUS-00102,Accused
FIR-2025-00273,SUS-00097,Witness
FIR-2025-00274,SUS-00018,Accused
FIR-2025-00275,SUS-00059,Accused
FIR-2025-00276,SUS-00004,Accused
FIR-2025-00277,SUS-00067,Accused
FIR-2025-00277,SUS-00009,Accused
FIR-2025-00277,SUS-00041,Witness
FIR-2025-00278,SUS-00056,Accused
FIR-2025-00278,SUS-00098,Witness
FIR-2025-00279,SUS-00074,Witness
FIR-2025-00281,SUS-00038,Accused
FIR-2025-00282,SUS-00112,Accused
FIR-2025-00282,SUS-00039,Accused
FIR-2025-00283,SUS-00034,Accused
FIR-2025-00283,SUS-00068,Witness
FIR-2025-00284,SUS-00031,Accused
FIR-2025-00286,SUS-00114,Accused
FIR-2025-00287,SUS-00113,Accused
FIR-2025-00289,SUS-00006,Accused
FIR-2025-00289,SUS-00020,Accused
FIR-2025-00289,SUS-00066,Witness
FIR-2025-00290,SUS-00097,Accused
FIR-2025-00292,SUS-00039,Accused
FIR-2025-00293,SUS-00089,Accused
FIR-2025-00293,SUS-00034,Accused
FIR-2025-00293,SUS-00021,Accused
FIR-2025-00293,SUS-00065,Witness
FIR-2025-00294,SUS-00074,Accused
FIR-2025-00295,SUS-00001,Accused
FIR-2025-00296,SUS-00075,Accused
FIR-2025-00296,SUS-00073,Accused
FIR-2025-00296,SUS-00092,Accused
FIR-2025-00297,SUS-00077,Accused
FIR-2025-00297,SUS-00039,Witness
FIR-2025-00298,SUS-00092,Accused
FIR-2025-00300,SUS-00100,Witness
FIR-2026-00301,SUS-00017,Accused
FIR-2026-00302,SUS-00031,Accused
FIR-2026-00303,SUS-00048,Accused
FIR-2026-00304,SUS-00100,Accused
FIR-2026-00305,SUS-00055,Accused
FIR-2026-00306,SUS-00094,Accused
FIR-2026-00307,SUS-00086,Accused
FIR-2026-00307,SUS-00015,Accused
FIR-2026-00310,SUS-00048,Accused
FIR-2026-00310,SUS-00118,Accused
FIR-2026-00311,SUS-00016,Accused
FIR-2026-00312,SUS-00016,Accused
FIR-2026-00313,SUS-00015,Accused
FIR-2026-00313,SUS-00089,Accused
FIR-2026-00313,SUS-00057,Accused
FIR-2026-00313,SUS-00101,Witness
FIR-2026-00314,SUS-00048,Accused
FIR-2026-00315,SUS-00017,Accused
FIR-2026-00317,SUS-00073,Accused
FIR-2026-00318,SUS-00034,Accused
FIR-2026-00319,SUS-00065,Accused
FIR-2026-00320,SUS-00020,Accused
FIR-2026-00320,SUS-00111,Accused
FIR-2026-00322,SUS-00044,Accused
FIR-2026-00323,SUS-00095,Accused
FIR-2026-00323,SUS-00036,Accused
FIR-2026-00323,SUS-00083,Accused
FIR-2026-00323,SUS-00022,Witness
FIR-2026-00324,SUS-00102,Accused
FIR-2026-00324,SUS-00099,Accused
FIR-2026-00325,SUS-00006,Accused
FIR-2026-00325,SUS-00080,Witness
FIR-2026-00326,SUS-00073,Accused
FIR-2026-00327,SUS-00003,Accused
FIR-2026-00327,SUS-00016,Accused
FIR-2026-00328,SUS-00036,Accused
FIR-2026-00330,SUS-00078,Accused
FIR-2026-00331,SUS-00120,Accused
FIR-2026-00331,SUS-00056,Witness
FIR-2026-00333,SUS-00116,Accused
FIR-2026-00334,SUS-00057,Accused
FIR-2026-00334,SUS-00040,Witness
FIR-2026-00335,SUS-00008,Accused
FIR-2026-00335,SUS-00079,Accused
FIR-2026-00335,SUS-00042,Accused
FIR-2026-00335,SUS-00092,Witness
FIR-2026-00337,SUS-00031,Accused
FIR-2026-00338,SUS-00102,Accused
FIR-2026-00338,SUS-00057,Accused
FIR-2026-00340,SUS-00021,Accused
FIR-2026-00340,SUS-00015,Accused
FIR-2026-00340,SUS-00006,Accused
FIR-2026-00341,SUS-00030,Accused
FIR-2026-00345,SUS-00101,Accused
FIR-2026-00345,SUS-00019,Accused
FIR-2026-00346,SUS-00069,Accused
FIR-2026-00346,SUS-00055,Accused
FIR-2026-00346,SUS-00117,Accused
FIR-2026-00348,SUS-00022,Accused
FIR-2026-00348,SUS-00120,Witness
FIR-2026-00349,SUS-00020,Accused
FIR-2026-00349,SUS-00034,Accused
FIR-2026-00349,SUS-00074,Accused
FIR-2026-00350,SUS-00075,Accused
FIR-2026-00351,SUS-00006,Accused
FIR-2026-00352,SUS-00116,Accused
FIR-2026-00353,SUS-00113,Accused
FIR-2026-00353,SUS-00056,Accused
FIR-2026-00353,SUS-00065,Witness
FIR-2026-00354,SUS-00074,Accused
FIR-2026-00354,SUS-00021,Accused
FIR-2026-00354,SUS-00048,Accused
FIR-2026-00354,SUS-00097,Witness
FIR-2026-00355,SUS-00074,Accused
FIR-2026-00355,SUS-00021,Accused
FIR-2026-00356,SUS-00003,Accused
FIR-2026-00358,SUS-00072,Witness
FIR-2026-00359,SUS-00098,Accused
FIR-2026-00359,SUS-00051,Accused
FIR-2026-00360,SUS-00010,Accused
FIR-2026-00360,SUS-00069,Accused
FIR-2026-00360,SUS-00107,Witness
FIR-2026-00361,SUS-00016,Accused
FIR-2026-00361,SUS-00046,Accused
FIR-2026-00362,SUS-00050,Accused
FIR-2026-00362,SUS-00099,Witness
FIR-2026-00363,SUS-00016,Accused
FIR-2026-00363,SUS-00060,Accused
FIR-2026-00365,SUS-00091,Accused
FIR-2026-00365,SUS-00046,Accused
FIR-2026-00365,SUS-00105,Witness
FIR-2026-00366,SUS-00017,Accused
FIR-2026-00366,SUS-00064,Witness
FIR-2026-00367,SUS-00015,Accused
FIR-2026-00367,SUS-00017,Accused
FIR-2026-00367,SUS-00034,Accused
FIR-2026-00371,SUS-00023,Accused
FIR-2026-00371,SUS-00017,Witness
FIR-2026-00372,SUS-00048,Accused
FIR-2026-00372,SUS-00041,Accused
FIR-2026-00373,SUS-00036,Accused
FIR-2026-00373,SUS-00025,Accused
FIR-2026-00375,SUS-00114,Accused
FIR-2026-00376,SUS-00084,Accused
FIR-2026-00376,SUS-00007,Accused
FIR-2026-00376,SUS-00110,Accused
FIR-2026-00377,SUS-00036,Accused
FIR-2026-00377,SUS-00067,Witness
FIR-2026-00378,SUS-00057,Accused
FIR-2026-00378,SUS-00093,Witness
FIR-2026-00380,SUS-00102,Accused
FIR-2026-00381,SUS-00095,Accused
FIR-2026-00381,SUS-00029,Accused
FIR-2026-00382,SUS-00102,Accused
FIR-2026-00382,SUS-00043,Witness
FIR-2026-00383,SUS-00013,Accused
FIR-2026-00383,SUS-00056,Witness
FIR-2026-00384,SUS-00081,Accused
FIR-2026-00384,SUS-00120,Accused
FIR-2026-00385,SUS-00102,Accused
FIR-2026-00386,SUS-00067,Accused
FIR-2026-00386,SUS-00102,Accused
FIR-2026-00386,SUS-00010,Witness
FIR-2026-00387,SUS-00098,Accused
FIR-2026-00387,SUS-00013,Accused
FIR-2026-00388,SUS-00089,Accused
FIR-2026-00389,SUS-00089,Accused
FIR-2026-00389,SUS-00017,Witness
FIR-2026-00390,SUS-00079,Witness
FIR-2026-00391,SUS-00074,Accused
FIR-2026-00391,SUS-00007,Witness
FIR-2026-00392,SUS-00116,Accused
FIR-2026-00393,SUS-00101,Accused
FIR-2026-00395,SUS-00044,Accused
FIR-2026-00395,SUS-00084,Accused
FIR-2026-00396,SUS-00043,Accused
FIR-2026-00396,SUS-00076,Accused
FIR-2026-00396,SUS-00014,Witness
FIR-2026-00398,SUS-00017,Accused
FIR-2026-00398,SUS-00082,Accused
FIR-2026-00399,SUS-00080,Accused
FIR-2026-00400,SUS-00040,Witness
